Name,Ingredients,Procedure,Serving,Suitable for Diabetic Patients to Eat,Calorie of the food,Approximate time for cooking(Minute)
Chicken Tikka Masala,"Chicken, Yogurt, Red chili powder, Ginger-garlic paste, Garam masala, Tomatoes, Cream, Butter, Oil, Salt","Chicken Tikka Masala is a popular Indian dish consisting of grilled or baked chicken pieces cooked in a creamy and flavorful tomato-based sauce. Here's a recipe to make Chicken Tikka Masala at home:

### Ingredients:
#### For Chicken Tikka:
- 500 grams boneless chicken, cut into bite-sized pieces
- 1/2 cup yogurt
- 2 tablespoons ginger-garlic paste
- 1 tablespoon lemon juice
- 1 teaspoon red chili powder
- 1 teaspoon ground cumin
- 1 teaspoon ground coriander
- 1/2 teaspoon turmeric powder
- 1/2 teaspoon garam masala powder
- Salt to taste
- 2 tablespoons oil
- Skewers (if grilling)
- Oil or cooking spray (if baking)

#### For Masala Sauce:
- 2 tablespoons oil or ghee
- 2 onions, finely chopped
- 2 tomatoes, pureed
- 1 tablespoon ginger-garlic paste
- 1 green chili, finely chopped (optional)
- 1 teaspoon ground cumin
- 1 teaspoon ground coriander
- 1 teaspoon red chili powder (adjust to taste)
- 1/2 teaspoon turmeric powder
- 1 teaspoon garam masala powder
- 1/2 cup heavy cream
- 1/4 cup chopped coriander leaves (cilantro)
- Salt to taste

#### For Garnish:
- Chopped coriander leaves (cilantro)
- Lemon wedges
- Naan or rice for serving

### Instructions:
1. **Prepare Chicken Tikka:**
   - In a large mixing bowl, combine yogurt, ginger-garlic paste, lemon juice, red chili powder, ground cumin, ground coriander, turmeric powder, garam masala powder, salt, and oil.
   - Add chicken pieces to the marinade and toss until they are evenly coated.
   - Cover the bowl and let the chicken marinate in the refrigerator for at least 2 hours, or preferably overnight.
   - If grilling, thread the marinated chicken pieces onto skewers. If baking, preheat your oven to 200°C (400°F) and line a baking sheet with parchment paper. Place the chicken pieces on the baking sheet.
   - Grill the chicken skewers or bake the chicken pieces in the preheated oven until cooked through and slightly charred on the edges, about 12-15 minutes for grilling and 20-25 minutes for baking. Set aside.

2. **Prepare Masala Sauce:**
   - Heat oil or ghee in a large pan or skillet over medium heat.
   - Add chopped onions and sauté until golden brown.
   - Add ginger-garlic paste and chopped green chili (if using). Sauté for another minute until the raw smell disappears.
   - Add ground cumin, ground coriander, red chili powder, turmeric powder, and garam masala powder. Mix well and cook for a couple of minutes.
   - Add tomato puree to the pan and cook until the oil starts to separate from the masala, stirring occasionally.
   - Stir in heavy cream and chopped coriander leaves. Mix well and let the sauce simmer for 5-7 minutes until it thickens.

3. **Combine Chicken Tikka and Masala Sauce:**
   - Add the cooked chicken tikka pieces to the masala sauce. Mix well to coat the chicken pieces with the sauce.
   - Let the chicken tikka masala simmer for another 5 minutes, allowing the flavors to meld together.

4. **Serve:**
   - Garnish Chicken Tikka Masala with chopped coriander leaves.
   - Serve hot with naan or rice, along with lemon wedges on the side.

Enjoy the creamy and flavorful Chicken Tikka Masala as a delicious main course!",Serve hot with naan or rice.,No,300,45
Chikki,"Jaggery, Peanuts, Ghee","Chikki is a traditional Indian sweet made from jaggery (or sugar) and nuts, typically peanuts or sesame seeds. It's crunchy, nutty, and sweet, making it a popular snack during festivals like Makar Sankranti and Diwali. Here's a recipe to make Peanut Chikki at home:

### Ingredients:
- 1 cup peanuts (skin removed)
- 1 cup jaggery (gur) or granulated sugar
- 1 tablespoon ghee (clarified butter)
- 1/4 teaspoon cardamom powder (optional)

### Instructions:
1. **Prepare the Peanuts:**
   - Dry roast the peanuts in a pan over medium heat until they are lightly golden brown and fragrant. Stir frequently to prevent burning.
   - Once roasted, remove the peanuts from the heat and let them cool slightly. Then, rub them between your palms or using a kitchen towel to remove the skin.

2. **Prepare the Chikki Mixture:**
   - Grease a plate or tray with ghee and keep it aside.
   - In the same pan, add jaggery or sugar along with ghee.
   - Heat the mixture over medium-low heat, stirring continuously until the jaggery/sugar melts and forms a thick syrup. If using jaggery, make sure it melts completely.
   - To test if the syrup is ready, drop a small amount into a bowl of cold water. It should form a hard ball when pressed between your fingers.
   - Once the syrup reaches the desired consistency, add cardamom powder (if using) and mix well.

3. **Combine with Peanuts:**
   - Add the roasted peanuts to the syrup and mix quickly to coat the peanuts evenly with the syrup.
   - Turn off the heat and transfer the mixture to the greased plate or tray.

4. **Shape the Chikki:**
   - While the mixture is still hot, flatten it using a greased rolling pin or a flat spatula to spread it evenly on the plate/tray.
   - You can use another greased plate to press down firmly on the mixture and flatten it evenly.
   - Score the flattened mixture with a knife to create square or rectangular pieces. This will help in breaking the chikki into uniform pieces once it cools down.

5. **Let it Cool and Set:**
   - Allow the chikki to cool down completely at room temperature for about 15-20 minutes.
   - Once cooled, break the chikki along the scored lines into individual pieces.

6. **Serve:**
   - Store the Peanut Chikki in an airtight container at room temperature.
   - Serve as a crunchy and sweet snack or dessert.

Enjoy the homemade Peanut Chikki, a delicious treat perfect for any occasion! You can also try making chikki with other nuts like almonds or cashews, or even sesame seeds.",Serve as a crunchy sweet snack.,No,250,30
Daal Baati Churma,"Whole wheat flour, Ghee, Mixed lentils, Onions, Tomatoes, Green chilies, Ginger-garlic paste, Ghee, Spices","Daal Baati Churma is a traditional Rajasthani dish consisting of three components: daal (lentil curry), baati (baked dough balls), and churma (crumbled sweet mixture). Here's a recipe to make Daal Baati Churma at home:

### Ingredients:
#### For Baati:
- 2 cups whole wheat flour (atta)
- 1/4 cup semolina (sooji)
- 1/4 cup ghee (clarified butter)
- 1/2 teaspoon salt
- Water, as needed

#### For Daal:
- 1 cup split pigeon peas (toor dal)
- 1/4 cup split chickpeas (chana dal)
- 1/4 cup split black lentils (urad dal)
- 1/4 cup split red lentils (masoor dal)
- 2 tomatoes, chopped
- 2 onions, chopped
- 2 green chilies, chopped
- 1 tablespoon ginger-garlic paste
- 1 teaspoon cumin seeds
- 1 teaspoon turmeric powder
- 1 teaspoon red chili powder
- 1 teaspoon coriander powder
- 1/2 teaspoon garam masala powder
- Salt to taste
- 2 tablespoons oil or ghee
- Fresh coriander leaves for garnish

#### For Churma:
- 1 cup whole wheat flour (atta)
- 1/4 cup ghee (clarified butter)
- 1/2 cup powdered jaggery (gur)
- 1/2 teaspoon cardamom powder
- Chopped nuts (almonds, cashews, pistachios) for garnish

### Instructions:
#### For Baati:
1. In a large mixing bowl, combine whole wheat flour, semolina, ghee, and salt.
2. Gradually add water and knead into a firm dough. Cover and let it rest for 15-20 minutes.
3. Preheat the oven to 180°C (350°F).
4. Divide the dough into equal-sized portions and shape them into round balls.
5. Place the dough balls on a baking sheet and bake in the preheated oven for 30-35 minutes or until they turn golden brown and crisp.

#### For Daal:
1. Rinse all the lentils (toor dal, chana dal, urad dal, masoor dal) thoroughly and soak them in water for 30 minutes.
2. Pressure cook the soaked lentils with chopped tomatoes, onions, green chilies, ginger-garlic paste, cumin seeds, turmeric powder, red chili powder, coriander powder, garam masala powder, salt, and enough water until they are soft and well-cooked.
3. Once cooked, heat oil or ghee in a pan, add the cooked lentil mixture, and simmer for a few minutes. Adjust the consistency by adding water if necessary.
4. Garnish with fresh coriander leaves and keep aside.

#### For Churma:
1. In a mixing bowl, combine whole wheat flour and ghee. Rub the mixture between your palms to form a crumbly texture.
2. Heat a pan and add the crumbled flour mixture. Roast it on low heat until it turns golden brown and fragrant.
3. Add powdered jaggery and cardamom powder. Mix well until the jaggery melts and blends with the flour mixture.
4. Once the mixture cools down, garnish with chopped nuts.

#### To Serve:
1. Serve the hot baatis with daal and churma.
2. Optionally, drizzle some melted ghee over the baatis for extra flavor.
3. Enjoy the delicious and wholesome Daal Baati Churma!

This recipe serves as a hearty and satisfying meal, perfect for festive occasions or special gatherings.",Serve as a traditional Rajasthani meal.,Yes,300,60
Daal Puri,"Whole wheat flour, Chana dal (split chickpeas), Onions, Green chilies, Coriander leaves, Spices, Oil","Daal Puri is a delicious and popular dish from the Indian subcontinent, particularly in regions like Bengal and Bihar. It consists of deep-fried bread stuffed with a spiced lentil filling. Here's a recipe to make Daal Puri at home:

### Ingredients:
#### For the Dough:
- 2 cups whole wheat flour (atta)
- 1 tablespoon oil
- Water, as needed
- Salt, to taste

#### For the Filling:
- 1 cup chana dal (split chickpeas), soaked for 2-3 hours
- 1 onion, finely chopped
- 2 green chilies, finely chopped
- 1 teaspoon ginger-garlic paste
- 1 teaspoon cumin seeds
- 1 teaspoon coriander powder
- 1/2 teaspoon turmeric powder
- 1/2 teaspoon red chili powder (adjust to taste)
- 1/2 teaspoon garam masala powder
- Salt, to taste
- 2 tablespoons oil
- Fresh coriander leaves, chopped, for garnish

#### Other Ingredients:
- Oil for deep frying

### Instructions:
#### For the Dough:
1. In a mixing bowl, combine the whole wheat flour, oil, and salt.
2. Gradually add water and knead the mixture into a smooth and firm dough.
3. Cover the dough with a damp cloth and let it rest for 20-30 minutes.

#### For the Filling:
1. Drain the soaked chana dal and grind it into a coarse paste without adding water.
2. Heat oil in a pan and add cumin seeds. Let them splutter.
3. Add chopped onions and green chilies. Saute until the onions turn translucent.
4. Add ginger-garlic paste and sauté until the raw aroma disappears.
5. Add coriander powder, turmeric powder, red chili powder, and garam masala powder. Mix well and cook for a minute.
6. Add the ground chana dal paste to the pan. Mix well and cook for 4-5 minutes until the mixture is dry and cooked through. Remove from heat and let it cool.

#### Assembling and Frying:
1. Divide the dough into equal-sized balls.
2. Roll out each dough ball into a small disc.
3. Place a spoonful of the prepared filling in the center of the disc.
4. Bring the edges of the disc together to enclose the filling and seal it properly. Flatten the filled dough ball gently.
5. Roll out the filled dough ball into a puri (round flatbread) of medium thickness.
6. Heat oil for deep frying in a pan over medium heat.
7. Once the oil is hot, carefully slide the stuffed puri into the hot oil.
8. Fry the puri until golden brown and crisp on both sides, flipping once as needed.
9. Remove the fried daal puri from the oil using a slotted spoon and drain excess oil on a paper towel.
10. Repeat the process with the remaining dough balls and filling.
11. Serve hot daal puris with chutney or yogurt, garnished with fresh coriander leaves.

Enjoy the delicious and flavorful Daal Puri as a snack or part of a meal!",Serve hot with chutney or aloo sabzi.,Yes,200,45
Dal Makhani,"Black lentils, Kidney beans, Onions, Tomatoes, Ginger-garlic paste, Cream, Butter, Spices","Dal Makhani is a popular North Indian dish made from black lentils (urad dal) and kidney beans (rajma) cooked with butter, cream, and aromatic spices. It's rich, creamy, and full of flavor. Here's a recipe to make Dal Makhani at home:

### Ingredients:
- 1 cup whole black lentils (whole urad dal), soaked overnight
- 1/4 cup red kidney beans (rajma), soaked overnight
- 2 tablespoons butter
- 1 tablespoon oil
- 1 large onion, finely chopped
- 2 tomatoes, pureed
- 1 tablespoon ginger-garlic paste
- 2 green chilies, slit lengthwise
- 1 teaspoon cumin seeds
- 1 teaspoon red chili powder (adjust to taste)
- 1/2 teaspoon turmeric powder
- 1 teaspoon coriander powder
- 1 teaspoon garam masala powder
- 1/2 cup cream
- Salt, to taste
- Fresh coriander leaves for garnish

### Instructions:
1. **Cooking the Lentils:**
   - Rinse the soaked black lentils (urad dal) and kidney beans (rajma) under running water.
   - In a pressure cooker, add the rinsed lentils and kidney beans along with 4 cups of water.
   - Pressure cook for about 6-8 whistles or until the lentils and beans are completely cooked and soft. Set aside.

2. **Preparing the Base:**
   - Heat butter and oil in a large pan or kadhai over medium heat.
   - Add cumin seeds and let them splutter.
   - Add chopped onions and sauté until they turn golden brown.
   - Add ginger-garlic paste and slit green chilies. Sauté for a minute until the raw smell disappears.
   - Add tomato puree to the pan and cook until the oil starts to separate from the masala, stirring occasionally.

3. **Adding Spices:**
   - Add red chili powder, turmeric powder, coriander powder, and garam masala powder. Mix well and cook for a couple of minutes.

4. **Combining with Lentils:**
   - Add the cooked lentils and beans (along with any water in which they were cooked) to the pan. Mix well to combine with the masala.
   - Mash some of the lentils and beans with the back of a spoon to thicken the gravy.

5. **Simmering:**
   - Let the dal makhani simmer on low heat for about 20-30 minutes, stirring occasionally, to allow the flavors to meld together.
   - Add more water if needed to adjust the consistency of the gravy.

6. **Finishing Touch:**
   - Stir in cream and salt to taste. Mix well and let it simmer for another 5 minutes.
   - Adjust the seasoning if needed.

7. **Garnish and Serve:**
   - Garnish the dal makhani with fresh coriander leaves.
   - Serve hot with rice, naan, roti, or paratha.

Enjoy the creamy and indulgent Dal Makhani as a comforting and satisfying meal!",Serve hot with naan or rice.,Yes,250,60
Dal Tadka,"Toor dal (pigeon peas), Onions, Tomatoes, Green chilies, Ginger-garlic paste, Cumin seeds, Spices, Ghee","Ingredients:

1 cup yellow lentils (moong dal or toor dal)
3 cups water
1 medium onion, finely chopped
2 tomatoes, chopped
2-3 green chilies, slit lengthwise (adjust to taste)
1-inch piece of ginger, grated
4-5 cloves of garlic, minced
1 teaspoon cumin seeds
1 teaspoon mustard seeds
1/2 teaspoon turmeric powder
1 teaspoon red chili powder (adjust to taste)
1 teaspoon garam masala powder
Salt to taste
2 tablespoons oil or ghee
Chopped coriander leaves for garnishing
Instructions:

Rinse the lentils under running water until the water runs clear. Drain and set aside.
In a pressure cooker or a large pot, add the rinsed lentils along with 3 cups of water, chopped tomatoes, green chilies, grated ginger, minced garlic, turmeric powder, and salt.
Pressure cook the lentils until they are soft and mushy. If using a pressure cooker, cook for about 3-4 whistles on medium heat. If using a pot, simmer covered until the lentils are cooked through, stirring occasionally.
Once the lentils are cooked, mash them lightly with the back of a spoon or a potato masher to achieve a creamy consistency. Adjust the consistency by adding more water if necessary.
In a separate pan, heat oil or ghee over medium heat. Add cumin seeds and mustard seeds. Let them splutter.
Add chopped onions to the pan and sauté until they turn translucent.
Add red chili powder and sauté for a few seconds.
Pour this tempering over the cooked lentils and mix well. Simmer the dal for a few more minutes, stirring occasionally, to allow the flavors to blend together.
Sprinkle garam masala powder over the dal and give it a final stir.
Garnish with chopped coriander leaves.
Serve hot with steamed rice or Indian bread like roti or naan.
Enjoy your delicious Dal Tadka!",Serve hot with rotis or rice.,Yes,200,30
Dharwad Pedha,"Milk, Sugar, Ghee","Dharwad Pedha is a popular Indian sweet originating from the city of Dharwad in Karnataka. It's a delectable treat made from milk, sugar, and sometimes flavored with cardamom. Here's a simple recipe to make Dharwad Pedha at home:

### Ingredients:
- 1 liter full-fat milk
- 1 cup sugar (adjust to taste)
- 1/4 teaspoon cardamom powder
- A pinch of saffron strands (optional)
- 1 tablespoon ghee (clarified butter)
- 1 tablespoon lemon juice or vinegar

### Instructions:

1. **Prepare the Chenna (Paneer):**
   - In a large pot, bring the milk to a boil. Once it starts boiling, lower the heat and add lemon juice or vinegar gradually while stirring continuously.
   - As the milk curdles, switch off the flame. Let it sit for a few minutes.
   - Place a muslin cloth or a fine mesh strainer over a bowl and pour the curdled milk into it. The whey will separate from the curdled milk solids (chenna). Rinse the chenna under cold water to remove any traces of lemon or vinegar.
   - Gather the cloth with the chenna and squeeze out excess water. Hang it for about 30 minutes to drain out any remaining liquid.

2. **Prepare the Pedha Dough:**
   - Transfer the drained chenna to a large plate or bowl. Knead it with your hands until it becomes smooth and soft. This should take about 5-7 minutes.
   - Heat a non-stick pan or a heavy-bottomed pan on low heat. Add ghee to it.
   - Add the kneaded chenna to the pan and cook on low heat, stirring continuously. The chenna will start to come together and release ghee.
   - After about 5-7 minutes, add sugar to the pan and continue to cook, stirring continuously. The sugar will melt and the mixture will become smooth and glossy.
   - Add cardamom powder and saffron strands (if using) to the mixture. Keep stirring until it thickens and starts leaving the sides of the pan. This should take around 10-15 minutes.

3. **Shape the Pedhas:**
   - Once the mixture reaches a dough-like consistency and starts leaving the pan, switch off the flame.
   - Let the mixture cool down for a few minutes until it's comfortable to touch.
   - Grease your palms with ghee and pinch small portions of the mixture to shape them into round pedhas. You can flatten them slightly or leave them round as per your preference.
   - Optionally, you can garnish the pedhas with chopped nuts like almonds or pistachios.

4. **Serve or Store:**
   - Allow the pedhas to cool completely before serving.
   - Store them in an airtight container at room temperature. They stay fresh for about a week.

Enjoy these delicious Dharwad Pedhas as a festive treat or as a sweet indulgence anytime!",Serve as a sweet delicacy.,No,150,45
Doodhpak,"Milk, Rice, Sugar, Cardamom powder, Nuts, Saffron strands","Doodhpak is a creamy and rich Indian rice pudding flavored with cardamom and saffron, often served as a dessert or during festivals and special occasions. Here's a traditional recipe to make Doodhpak at home:

### Ingredients:
- 1 liter full-fat milk
- 1/2 cup basmati rice
- 1/2 cup sugar (adjust to taste)
- 4-5 green cardamom pods, crushed
- A pinch of saffron strands
- 2 tablespoons chopped nuts (almonds, cashews, pistachios)
- 1 tablespoon ghee (clarified butter)

### Instructions:

1. **Prepare the Rice:**
   - Rinse the basmati rice under cold water until the water runs clear. Soak the rice in water for about 30 minutes.

2. **Boil the Milk:**
   - In a heavy-bottomed pan or a deep saucepan, bring the milk to a boil over medium heat, stirring occasionally to prevent it from sticking to the bottom.

3. **Cook the Rice:**
   - Drain the soaked rice and add it to the boiling milk.
   - Lower the heat to medium-low and let the rice cook in the milk, stirring occasionally to prevent the rice from sticking to the bottom.
   - Cook the rice until it becomes soft and the milk starts to thicken. This may take about 25-30 minutes.

4. **Add Sugar and Flavorings:**
   - Once the rice is cooked and the milk has thickened, add sugar to the pan and stir well until the sugar dissolves completely.
   - Add crushed cardamom pods and saffron strands to the mixture. Stir to combine.

5. **Garnish:**
   - In a separate small pan, heat ghee over low heat. Add chopped nuts and sauté until they turn golden brown.
   - Pour the ghee and nuts mixture over the Doodhpak and stir to incorporate.

6. **Serve:**
   - Remove the Doodhpak from heat and let it cool for a few minutes.
   - Serve warm or chilled, garnished with more chopped nuts if desired.

Enjoy the creamy and aromatic Doodhpak as a delightful dessert after a hearty meal or as a sweet treat on festive occasions!",Serve as a sweet dessert.,No,200,45
Double Ka Meetha,"Bread slices, Milk, Ghee, Sugar, Cardamom powder, Nuts","Double Ka Meetha is a delicious and indulgent Indian bread pudding made with fried bread slices, milk, sugar, and flavored with cardamom and saffron. It's a popular dessert, especially during festivals and celebrations. Here's how you can make Double Ka Meetha at home:

### Ingredients:
- 6 slices of bread (white or whole wheat)
- 1 cup full-fat milk
- 1/2 cup sugar (adjust to taste)
- 4-5 green cardamom pods, crushed
- A pinch of saffron strands
- 2 tablespoons ghee (clarified butter)
- Chopped nuts (almonds, cashews, pistachios) for garnish

### Instructions:

1. **Prepare the Bread:**
   - Trim the edges of the bread slices and cut them into halves diagonally to form triangles.
   - Heat ghee in a pan over medium heat. Fry the bread slices until they turn golden brown and crispy on both sides. Remove from the pan and set aside.

2. **Prepare the Milk Mixture:**
   - In a separate saucepan, bring the milk to a boil over medium heat, stirring occasionally to prevent it from sticking to the bottom.
   - Once the milk comes to a boil, reduce the heat to low and let it simmer for about 10-15 minutes until it reduces slightly and thickens.
   - Add sugar to the milk and stir until it dissolves completely.
   - Crush the cardamom pods and add them to the milk along with saffron strands. Stir to infuse the flavors.

3. **Assemble the Double Ka Meetha:**
   - Arrange the fried bread slices in a single layer in a shallow dish or serving plate.
   - Pour the hot milk mixture over the bread slices, ensuring that all the slices are soaked well.
   - Let the bread soak in the milk mixture for at least 30 minutes to an hour, allowing it to absorb the flavors.

4. **Garnish and Serve:**
   - Garnish the Double Ka Meetha with chopped nuts of your choice.
   - Serve warm or chilled, as per your preference.

Double Ka Meetha is best enjoyed when it's allowed to sit for some time, allowing the flavors to meld together. It's a delightful dessert that's sure to be a hit with your family and friends!",Serve as a sweet dish.,No,250,45
Dum Aloo,"Baby potatoes, Yogurt, Onions, Tomatoes, Ginger-garlic paste, Spices, Oil, Salt","Dum Aloo is a delicious and flavorful Indian dish made with baby potatoes cooked in a spiced tomato-based gravy. It's a popular vegetarian dish that pairs well with rice, naan, or roti. Here's a recipe to make Dum Aloo at home:

### Ingredients:
- 500 grams baby potatoes
- 2 tablespoons oil or ghee
- 1 large onion, finely chopped
- 2 tomatoes, finely chopped
- 2-3 garlic cloves, minced
- 1-inch piece of ginger, grated
- 1/2 cup plain yogurt (curd)
- 1 teaspoon turmeric powder
- 1 teaspoon red chili powder (adjust to taste)
- 1 teaspoon coriander powder
- 1/2 teaspoon cumin powder
- 1/2 teaspoon garam masala
- Salt to taste
- Fresh coriander leaves for garnish

### For the Dum Aloo Masala Paste:
- 1/4 cup cashews, soaked in warm water for 15 minutes
- 1 tablespoon poppy seeds (khus-khus), soaked in warm water for 15 minutes
- 1 tablespoon melon seeds (magaz), soaked in warm water for 15 minutes
- 1 teaspoon fennel seeds
- 2-3 green cardamom pods
- 2-3 cloves
- 1-inch cinnamon stick
- 1 bay leaf

### Instructions:

1. **Prepare the Dum Aloo Masala Paste:**
   - Drain the soaked cashews, poppy seeds, and melon seeds. Add them to a blender along with fennel seeds, cardamom pods, cloves, cinnamon stick, and bay leaf.
   - Blend everything into a smooth paste, adding a little water if needed. Set aside.

2. **Prepare the Baby Potatoes:**
   - Peel the baby potatoes and prick them with a fork or toothpick.
   - Heat oil or ghee in a pan over medium heat. Fry the potatoes until they turn golden brown. Remove from the pan and set aside.

3. **Make the Dum Aloo Gravy:**
   - In the same pan, add more oil if needed. Add chopped onions and sauté until they turn golden brown.
   - Add minced garlic and grated ginger. Sauté for a couple of minutes until the raw smell disappears.
   - Add chopped tomatoes and cook until they turn soft and mushy.
   - Add the prepared Dum Aloo masala paste to the pan. Cook for a few minutes until the oil starts to separate from the masala.

4. **Cook the Potatoes in the Gravy:**
   - Whisk yogurt in a bowl until smooth. Add it to the pan along with turmeric powder, red chili powder, coriander powder, cumin powder, and salt. Mix well.
   - Add the fried baby potatoes to the gravy. Stir gently to coat the potatoes with the masala.
   - Cover the pan with a lid and let the potatoes cook in the gravy over low heat for about 15-20 minutes. Stir occasionally to prevent sticking.

5. **Finish the Dish:**
   - Once the potatoes are cooked through and the gravy has thickened, sprinkle garam masala over the dish.
   - Garnish with fresh coriander leaves.

6. **Serve:**
   - Serve Dum Aloo hot with rice, naan, or roti.

Enjoy the rich and aromatic flavors of Dum Aloo as a comforting meal!",Serve hot with rotis or rice.,Yes,200,30
Gajar Ka Halwa,"Carrots, Milk, Ghee, Sugar, Cardamom powder, Nuts"," Gajar Ka Halwa, a delicious Indian dessert made from carrots:

**Ingredients:**
- 1 kg (about 2 lbs) carrots, grated
- 1 liter (4 cups) full-fat milk
- 1 cup sugar (adjust to taste)
- 1/4 cup ghee (clarified butter)
- 1/4 cup chopped nuts (cashews, almonds, pistachios)
- 1/4 cup raisins
- 1/2 teaspoon cardamom powder
- Saffron strands (optional)
- 2 tablespoons khoya (optional)

**Instructions:**

1. **Preparation of Carrots:**
   - Wash and peel the carrots. Grate them using a grater or food processor. Ensure they are finely grated.

2. **Cooking Carrots:**
   - In a heavy-bottomed pan or kadhai, heat ghee over medium heat.
   - Add the grated carrots to the pan and sauté them in the ghee for 5-7 minutes until they begin to soften.

3. **Boiling Milk:**
   - Pour the milk into the pan with the carrots and bring it to a boil.
   - Once it starts boiling, reduce the heat to low and let the carrots cook in the milk. Stir occasionally to prevent burning.

4. **Reducing Milk:**
   - Allow the carrots to simmer in the milk until the milk reduces to about half its original quantity. This process can take about 30-40 minutes. Keep stirring occasionally.

5. **Adding Sugar:**
   - Once the milk has reduced, add sugar to the mixture. Stir well until the sugar dissolves completely.

6. **Adding Nuts and Flavorings:**
   - Add the chopped nuts, raisins, cardamom powder, and saffron strands (if using) to the pan. Mix everything well.

7. **Cooking Further:**
   - Continue to cook the mixture until it thickens further and attains a halwa-like consistency. This can take another 15-20 minutes.

8. **Optional Addition of Khoya:**
   - If using khoya, crumble it and add it to the halwa at this stage. Mix well and cook for a few more minutes until everything is well combined.

9. **Finishing Touches:**
   - Once the halwa reaches the desired consistency and the carrots are fully cooked, turn off the heat.
   - Garnish with more chopped nuts if desired.

10. **Serving:**
    - Serve Gajar Ka Halwa warm or cold, as per your preference. It can be enjoyed on its own or with a scoop of vanilla ice cream.

Enjoy your homemade Gajar Ka Halwa!",Serve hot as a sweet dessert.,Yes,180,45
Gavvalu,"Rice flour, Urad dal flour, Butter, Water, Salt, Oil for frying","Gavvalu, also known as Kudumulu or Thippalu, are traditional South Indian sweet snacks made from rice flour. These crispy and crunchy treats are often prepared during festivals or special occasions. Here's a recipe to make Gavvalu at home:

### Ingredients:
- 1 cup rice flour
- 1/4 cup maida (all-purpose flour)
- 1/4 cup water
- 1 tablespoon ghee (clarified butter)
- Oil for deep frying
- Jaggery syrup or sugar syrup for coating (optional)
- Desiccated coconut for garnish (optional)

### Instructions:

1. **Prepare the Dough:**
   - In a mixing bowl, combine rice flour and maida (all-purpose flour).
   - Heat water and ghee in a saucepan until it comes to a boil.
   - Pour the hot water-ghee mixture over the flour mixture and mix well using a spoon.
   - Once the mixture cools down a bit, knead it into a smooth and stiff dough. If the dough is too dry, add a little more water. If it's too sticky, add a little more flour.

2. **Shape the Gavvalu:**
   - Pinch off small portions of the dough and roll them into tiny balls, about the size of a pea.
   - Take a rolling pin or the back of a knife and gently press each ball to flatten it slightly.
   - Using your thumb, press down the center of each flattened ball and roll it outwards, shaping it into a conical or shell-like structure. The edges should be thinner than the center.

3. **Fry the Gavvalu:**
   - Heat oil in a deep frying pan or kadai over medium heat.
   - Once the oil is hot, carefully drop a few Gavvalu into the oil, making sure not to overcrowd the pan.
   - Fry the Gavvalu until they turn golden brown and crispy. Stir occasionally for even frying.
   - Once done, remove the fried Gavvalu using a slotted spoon and drain excess oil on paper towels.

4. **Coat with Syrup (Optional):**
   - If desired, you can coat the fried Gavvalu with jaggery syrup or sugar syrup for added sweetness. Simply dip the Gavvalu in the warm syrup and coat them evenly. Allow any excess syrup to drip off.

5. **Garnish (Optional):**
   - For extra flavor and texture, you can sprinkle desiccated coconut over the coated Gavvalu before serving.

6. **Serve:**
   - Allow the Gavvalu to cool completely before serving.
   - Enjoy these crispy and delicious South Indian snacks as a festive treat or snack anytime!

Gavvalu are best consumed fresh, but they can be stored in an airtight container for a few days.",Serve as a crunchy snack.,No,150,45
